,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome,blackPercentage,americanIndianPercentage,asianPercentage,nativePercentage,otherPercentage,twoOrMorePercentage,hispanicPercentage,whitePercentage,leaving1,leaving2,leaving3,leaving4,leaving5,leaving6,leaving7,leaving8,leaving9,leaving10
348,1400000US17031280100,17031280100,"Census Tract 2801, Cook County, Illinois","Census Tract 2801, Cook County, Illinois",5393,704,,84967.0,0.0,0.0,29.4,0.0,0.0,2.8,7.0,60.8,0.0,2.7,6.0,14.1,6.7,10.1,3.8,36.2,14.2,6.3
349,1400000US17031280400,17031280400,"Census Tract 2804, Cook County, Illinois","Census Tract 2804, Cook County, Illinois",515,122,,36202.0,58.2,0.0,5.7,0.0,0.0,0.0,0.0,36.1,2.5,0.0,0.0,5.7,0.0,23.8,5.7,9.8,21.3,31.1
350,1400000US17031280800,17031280800,"Census Tract 2808, Cook County, Illinois","Census Tract 2808, Cook County, Illinois",366,75,,21667.0,85.3,0.0,0.0,0.0,0.0,0.0,5.3,9.3,0.0,0.0,0.0,0.0,8.0,0.0,52.0,21.3,16.0,2.7
351,1400000US17031280900,17031280900,"Census Tract 2809, Cook County, Illinois","Census Tract 2809, Cook County, Illinois",309,104,,39196.0,96.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,14.4,13.5,2.9,23.1,10.6,0.0,0.0,35.6
352,1400000US17031281900,17031281900,"Census Tract 2819, Cook County, Illinois","Census Tract 2819, Cook County, Illinois",3832,770,,80660.0,4.9,0.0,45.2,0.0,0.0,0.0,7.1,42.7,0.0,0.0,4.8,1.8,15.2,15.2,18.6,23.1,2.5,18.8
353,1400000US17031282700,17031282700,"Census Tract 2827, Cook County, Illinois","Census Tract 2827, Cook County, Illinois",1037,277,,43531.0,26.0,0.0,25.3,0.0,3.2,3.6,28.9,16.2,0.0,0.0,0.0,4.3,2.5,14.4,5.1,31.0,5.1,37.5
354,1400000US17031282800,17031282800,"Census Tract 2828, Cook County, Illinois","Census Tract 2828, Cook County, Illinois",914,320,,39198.0,36.3,0.0,23.1,0.0,8.4,4.1,15.6,22.2,0.0,0.0,7.5,12.5,5.3,26.6,6.9,10.6,6.6,24.1
355,1400000US17031283100,17031283100,"Census Tract 2831, Cook County, Illinois","Census Tract 2831, Cook County, Illinois",1433,576,,36393.0,35.6,0.0,33.3,0.0,3.8,1.4,3.8,25.9,9.0,3.8,0.0,2.4,0.0,5.7,12.3,7.5,13.5,45.7
356,1400000US17031283200,17031283200,"Census Tract 2832, Cook County, Illinois","Census Tract 2832, Cook County, Illinois",854,324,,55648.0,17.9,1.9,20.7,0.0,0.0,1.9,9.3,52.2,0.0,0.0,0.0,4.0,23.8,10.5,9.0,6.8,7.4,38.6
357,1400000US17031283800,17031283800,"Census Tract 2838, Cook County, Illinois","Census Tract 2838, Cook County, Illinois",1813,241,,60478.0,43.2,0.0,0.0,0.0,0.0,0.0,12.0,44.8,4.6,4.6,3.3,11.2,0.0,9.5,17.4,23.2,3.3,22.8
358,1400000US17031290900,17031290900,"Census Tract 2909, Cook County, Illinois","Census Tract 2909, Cook County, Illinois",996,411,,23382.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.8,9.0,25.3,9.7,10.2,2.2,4.9,0.0,23.8
359,1400000US17031291200,17031291200,"Census Tract 2912, Cook County, Illinois","Census Tract 2912, Cook County, Illinois",739,303,,25194.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,4.0,8.9,7.3,18.2,13.5,7.9,6.9,2.3,22.1
360,1400000US17031291600,17031291600,"Census Tract 2916, Cook County, Illinois","Census Tract 2916, Cook County, Illinois",511,95,,25625.0,40.0,0.0,2.1,0.0,6.3,0.0,41.1,16.8,0.0,0.0,34.7,0.0,0.0,0.0,12.6,6.3,4.2,42.1
361,1400000US17031292200,17031292200,"Census Tract 2922, Cook County, Illinois","Census Tract 2922, Cook County, Illinois",775,210,,28594.0,85.2,0.0,0.0,0.0,0.0,0.0,9.0,5.7,7.6,0.0,0.0,5.7,0.0,13.3,5.7,16.2,0.0,51.4
362,1400000US17031292400,17031292400,"Census Tract 2924, Cook County, Illinois","Census Tract 2924, Cook County, Illinois",763,376,,22173.0,98.1,0.0,0.0,0.0,0.0,0.0,0.0,1.9,14.9,2.9,5.9,15.4,0.0,7.4,0.0,9.3,2.1,42.0
363,1400000US17031292500,17031292500,"Census Tract 2925, Cook County, Illinois","Census Tract 2925, Cook County, Illinois",1392,497,,24744.0,91.3,2.8,0.0,0.0,2.6,0.0,2.6,3.2,6.8,0.0,15.7,9.7,12.7,0.0,4.8,7.2,8.5,34.6
364,1400000US17031300500,17031300500,"Census Tract 3005, Cook County, Illinois","Census Tract 3005, Cook County, Illinois",1184,246,,21715.0,10.6,2.8,0.0,0.0,16.7,4.1,86.6,0.0,2.0,2.8,0.0,25.2,8.9,12.6,4.9,30.1,0.0,13.4
365,1400000US17031300600,17031300600,"Census Tract 3006, Cook County, Illinois","Census Tract 3006, Cook County, Illinois",1167,271,,21440.0,18.1,1.8,0.0,0.0,21.0,0.0,79.7,2.2,10.7,3.7,0.0,4.4,10.0,2.2,4.1,17.7,2.6,44.6
366,1400000US17031300700,17031300700,"Census Tract 3007, Cook County, Illinois","Census Tract 3007, Cook County, Illinois",1889,225,,21103.0,0.0,4.4,0.0,0.0,45.8,0.0,90.7,9.3,12.0,0.0,0.0,0.9,4.0,23.6,10.7,24.9,6.7,17.3
367,1400000US17031300800,17031300800,"Census Tract 3008, Cook County, Illinois","Census Tract 3008, Cook County, Illinois",1377,331,,20092.0,0.0,0.0,0.0,0.0,31.7,0.0,100.0,0.0,0.0,8.2,0.0,7.6,0.0,14.2,14.8,2.7,4.5,48.0
